Date_of_Visit,District,Chiefdom,Section,Name_of_community,f_q1,f_q2,f_q3,f_q4,f_q5,f_q6
2015-04-08,Bonthe,NA,NA,Molendel Bonday,0,NA,No death,The chiefs and eleders are reforcing the bye-laws in this community so that the community will get safe from ebola,NA,NA
2015-04-09,Bonthe,NA,NA,Bendu,0,NA,No death,The commettee that was formed in bendu are real enforcing the bi-cala in order to prevent ebola in their community,NA,NA
2015-04-10,Bonthe,NA,NA,Fakono,0,NA,No death,The community were very much devoted to attend the follow up visit than the last visit,NA,NA
2015-04-07,Bonthe,NA,NA,Bonthe ,1,The community want to kick ebola out of this country at large,NA,House to house checking for sick persons,NA,NA
2015-04-08,Bonthe,NA,NA,Bonthe ,0,NA,The people want to go about their normal business,Handwashing was the biggest change in this communiy since your last visit,NA,NA
2015-04-09,Bonthe,NA,NA,Bonthe ,0,NA,They want their children to go back to school,Regular hand washing ,NA,NA
2015-04-10,Bonthe,NA,NA,Bonthe ,0,They want ebola to end now ,NA,Regular hand washing ,No death has occure since our last visit,NA
2015-03-10,Bonthe,NA,NA,Baimbay ,0,NA,No death,They premise to patient with the bye-laws to see that ebola come to an end,NA,NA
2015-03-11,Bonthe,NA,NA,Mossandor,0,NA,No death,Everyone is aware of ebola and its danger,NA,NA
2015-03-12,Bonthe,NA,NA,Churkoloh,0,NA,No death,Everyone in the community help to see that they complier to the bye-laws and action plans,NA,NA
2015-03-13,Bonthe,NA,NA,Yoni,0,NA,No death,They have all put hands together to see that ebola come to an end,NA,NA
2015-04-07,Bonthe,NA,NA,Mobage,0,NA,No death,The community has consetrated more on hygen practices organised by the community eleders,What have the government done to the distric that are still given us new cases of ebola,NA
2015-04-08,Bonthe,NA,NA,Victoria,0,NA,No death,The people are so happy for the veronical buckets distributed in the community for the washing of hands by UNICEF,What is now going to be the role of the government towards  school going children in terms of school fees and learning material,NA
2015-04-09,Bonthe,NA,NA,Gballoh,0,NA,No death,The people are happy  with the government for the reopening of schools in this time of the year,NA,NA
2015-04-10,Bonthe,NA,NA,Motasso,0,NA,No death,The community is happy to undertake the regular hand washing since UNICEF had given us veronical buckets,NA,NA
2015-04-07,Bonthe,NA,NA,Ngaiyah,0,NA,No death,All are working to help the virus out of sierraleone,"BEMBELOH COMMUNITY; Food shortage, no luma and Hunger",NA
2015-04-08,Bonthe,NA,NA,Tissana,0,NA,No death,We are all willing to obey  and abide by the bye-laws,TISSANS COMMUNITY; No effective luma and food shortage,NA
2015-04-09,Bonthe,NA,NA,Mofey,0,NA,No death,Obeying the bye-laws in the community so as to contain the deadly virus ebola,MOFEY COMMUNITY; Free education for their children and No shortage,NA
2015-04-10,Bonthe,NA,NA,Bembeloh,0,NA,No death,All are readly tonhelp contain the virus and way to combat this ebola virus,NGAIYAH COMMUNITY;Free education for their children and no  pure drinking water and toilets facilitys,NA
2015-04-14,Bonthe,NA,NA,Bamba,1,The virus cannot transfer to us,NA,We are all law abiding people and we are willing to let out of our country,The reopening of schools is a concern to every body in this community,NA
2015-04-15,Bonthe,NA,NA,Mania,1,The are highly protected against ebola,NA,Restriction on strongers from other community/places,During the three days lockdown let the government provide food for us please,NA
2015-04-16,Bonthe,NA,NA,Waah,1,It is good and can save us from the virus,NA,Reporting all sick to concern health workers for early treatment,For us here our children are safe from ebola,NA
2015-04-17,Bonthe,NA,NA,Billoh,1,They cannot  contact the virus,NA,Reporting all dead bodies to the burial team by calling 117,NA,NA
2015-04-07,Bonthe,NA,NA,Lorgbana,0,NA,No death,No public or social activities in the community,"The ebola education is enough, and we want to see the end of ebola and start our normal life again",NA
2015-04-08,Bonthe,NA,NA,Molucia,0,NA,No death,Community people are now speaking out the negative word they used to say about ebola,Our children want to go to school again,NA
2015-04-09,Bonthe,NA,NA,Mogbondo,0,NA,No death,"The community co-operation with the burial team, and other ebola response workers is now good than before",Let ebola come to an end now our children want to return to school and we want our activities,NA
2015-04-10,Bonthe,NA,NA,Kortumahum,0,NA,No death,Community awareness about ebola is realy ok and active in this community,NA,NA
2015-04-07,Bonthe,NA,NA,Sawulla ,1,Because of the bye-laws lain in the country,NA,People now respect  the bye-laws in the community,When will ebola come to an end?,NA
2015-04-08,Bonthe,NA,NA,Mogona,0,NA,Because of the chlorine they use on the dead ,The people now go for treatment ,When will the burial team stop the  burial process?,NA
2015-04-09,Bonthe,NA,NA,Gbaninga,0,NA,The way and manner they team dress  in white plastic,The people now go for medical treatment,The chlorine the used on the dead when will it come to an end?,NA
2015-04-10,Bonthe,NA,NA,Mawillmie,1,The allowed the family to  pray on the dead,NA,They now believe that ebola is real,"When do we start our social activities like football match, watching games  and visiting friends again",NA
2015-04-09,Bonthe,NA,NA,Levuma,1,Because the religious leaders are part of the burial team,NA,There is awareness about ebola and its reality,When will they allowed free moverment for us,NA
2015-04-10,Bonthe,NA,NA,Mosonga,1,They burial team will now call on the community to witness the burial process,NA,"With the help of the social mobilizers, the people can now trust in the health workers and the burial team","Md. Mariama Kamara of Komende village,Jong chiefdom, Bonthe distric is asking for the reopening of schools  and what has the government put in place to prevent pupils/ student from ebola?",NA
2015-04-11,Bonthe,NA,NA,Bugor,1,The community are satisfily to end ebola in the community,NA,The community is now maintaing the rules and regulations that involves in ebola bye-laws,"Everyday the government is talking of the destribution of school materias and thermometers gun, but Komende community have not yet received any school items that will prevent the children from getting ebola virus",NA
2015-04-12,Bonthe,NA,NA,Komende,1,The burial will response to the community calls when the need arise,NA,The people are now making good used of the 117 called line for the sick and  deads,NA,NA
2015-04-07,Bonthe,NA,NA,Kporbu,1,We have to obey because it protect us from ebola,NA,"The frequent hand washing of the people has been the biggest change in the community mosque, before this time it was differcult",NA,NA
2015-04-08,Bonthe,NA,NA,Gbangba,1,The burial team is very polite and they handle the corpse well,NA,"The reporting of the sick and the dead by the community chiefs and other stake holders is a change,like the three death that occurred at UBC hospiatl in Mattru jong",NA,NA
2015-04-09,Bonthe,NA,NA,Gbangasie,1,They have protectives giels and shrouds,NA,The clear concepts of the ebola virus education to the people is now very positive,NA,NA
2015-04-10,Bonthe,NA,NA,Kpetema,1,The religious people are part of the burial process,NA,The promotion of hands washing in mosque and reporting of sick and dead by calling,NA,NA
2015-04-08,Bonthe,NA,NA,Ndodebahun,0,NA,No death,People have realy put the bey-laws in to action and the authorities are realy coperating with their community members in this fight,NDODEBAHUN COMMUNITY ; Asked for the reopening of schools?,NA
2015-04-09,Bonthe,NA,NA,Mosallay,0,NA,No death,98% of the bye-laws have been put in place by the community people and the bye-laws are in action,"MOSALLAY COMMUNITY; They need government assistance in the area of food, too much hunger",NA
2015-04-10,Bonthe,NA,NA,Gondorma,1,The family identity the grave,No death,The youth in this community have formed a committee to see that other members are practising the bye-laws and actions taken against defaulters,Government to provide free education for our children for at lest two years,NA
2015-04-11,Bonthe,NA,NA,Mojanjua,1,The allowed the people to pray on the dead,NA,The community members are coperatng with their authorities to see that ebola has come to an end,MOJANJUA COMMUNITY; They need the government and NGO to assistance them with food and money too much hunger,NA
2015-04-08,Bonthe,NA,NA,Ngbahama,1,It is an instruction given by the government,NA,NA,They are happy because the government has opened schools,NA
2015-04-09,Bonthe,NA,NA,Gbalor,1,It is an instruction given by the government,NA,NA,But they want there luma to be active again/oped too,NA
2015-04-10,Bonthe,NA,NA,Mirlpohum,1,It is an instruction given by the government,NA,NA,They are happy because the government has opened schools,NA
2015-04-11,Bonthe,NA,NA,Mokuiwa,1,It is an instruction given by the government,NA,NA,They are happy because the government has opened schools,NA
2015-04-07,Bonthe,NA,NA,Pelewahun,1,Members of the family were allowed to pray on the corpos or dead,NA,Awearness has take all over the community about ebola,NA,NA
2015-04-08,Bonthe,NA,NA,Godama,0,NA,No death,Awearness has taken through the community to prevent ebola,NA,NA
2015-04-09,Bonthe,NA,NA,Kpawan,0,NA,No death,Awareness has taken all over our community about ebola,NA,NA
2015-04-10,Bonthe,NA,NA,Mobongeh,0,NA,No death,Awareness of ebola prevention has taken part in all our community and in the life of the people,NA,NA
2015-04-07,Bonthe,NA,NA,Mawude,0,NA,No death,No self burial,NA,NA
2015-04-08,Bonthe,NA,NA,Mawude,0,NA,No death,NA,NA,NA
2015-04-09,Bonthe,NA,NA,Mawude,0,NA,No death,NA,NA,NA
2015-04-10,Bonthe,NA,NA,Mawude,0,NA,No death,No public gathering in this community,NA,NA
2015-04-07,Bonthe,NA,NA,Gbap,1,How ever there is no death but  they are please with the team because it is the law from the government,NA,The community people has provide a buckets for hand washing,Is the government going to pay our children school fees,NA
2015-04-08,Bonthe,NA,NA,Mojenja,1,How ever there is no death but  they are please with the team because it is the law from the government,NA,"The change is that, the community people has decided to avoid eating bush meat",When is the government going to declear ebola free,NA
2015-04-09,Bonthe,NA,NA,Mojai,1,How ever there is no death but  they are please with the team because it is the law from the government,NA,No self burial and we have respect for  the laws  of ebola,Is the burial team going to continued their poeration even after ebola,NA
2015-04-10,Bonthe,NA,NA,Gondama,1,How ever there is no death but  they are please with the team because it is the law from the government,NA,Keeping to the bye-laws in the community,NA,NA
2015-04-07,Bonthe,NA,NA,Loppa,0,NA,They do not wash dead bodiesand they plasic them,NA,NA,NA
2015-04-08,Bonthe,NA,NA,Tanianahun ,0,NA,They team is always late when called for burial and the body get rotten,NA,NA,NA
2015-04-09,Bonthe,NA,NA,Ngehun,0,NA,Because they do not wash or provide shatin for the dead,NA,NA,NA
2015-04-10,Bonthe,NA,NA,Banda Juma,0,NA,No body has die yet,NA,NA,NA
2015-04-09,Bonthe,NA,NA,Mobaba ,1,Because is a command from authority,NA,No strongers were aspected in the community and we do not eat bush meat also wash our hands frequently,"Samuel Mambu from Nguma community said that after the ebola crisie, what has  papa government put in place for us the community people and the old people in the community ",NA
2015-04-10,Bonthe,NA,NA,Nguma,0,NA,Because they will not allowed to wash our love ones,Frequent hands washing is one of the biggest change in the communty and no body contacts and eating  of bush meat,"Samuel Mambu from Nguma community said that after the ebola crisie, what has  papa government put in place for us the community people and the old people in the community ",NA
2015-04-11,Bonthe,NA,NA,Malama,1,Because is a bey-law from the president,Because they used plastic on the body,"No body contact, no strongers allowed and no eating of bush meat","Samuel Mambu from Nguma community said that after the ebola crisie, what has  papa government put in place for us the community people and the old people in the community ",NA
2015-04-12,Bonthe,NA,NA,Booto,0,NA,Because of the chlorine they use on the dead ,"Not accomodiating strongers, No eating of bush meat and frequent hand washing","Samuel Mambu from Nguma community said that after the ebola crisie, what has  papa government put in place for us the community people and the old people in the community ",NA
2015-04-09,Bonthe,NA,NA,Mano,0,NA,No death,Ebola awareness has been the biggest change since our last visit,NA,NA
2015-04-10,Bonthe,NA,NA,Mboama,0,NA,No death,Ebola awareness amony community people are the biggest  change since our last visit,NA,NA
2015-04-11,Bonthe,NA,NA,Mobefa,0,NA,No death,Awareness amony community people are the biggest change since the last visit,NA,NA
2015-04-12,Bonthe,NA,NA,Tanfoi,0,NA,No death,Frequent hands washing is one of the biggest change in the communty and no body contacts and eating  of bush meat,NA,NA
2015-04-08,Bonthe,NA,NA,Peppo,1,"Yes because, they allowed the family members to the cemetry or graveyard",NA,The biggest change in our community is hand washing and to avoid eating bush meat ,NA,NA
2015-04-09,Bonthe,NA,NA,Morpeteh,1,"Yes, although no burial occur,bot it can protects us from having EVD ",NA,Hand washing has been the biggest change in our community,NA,NA
2015-04-10,Bonthe,NA,NA,Blama,1,"Yes, it can protect us from having EVD",NA,Avoid eating bush meat and hand washing has been the biggest change,NA,NA
2015-04-11,Bonthe,NA,NA,Nyordeyhun,1,No burial has taken place but we  are satisfied with their conduct,NA,Hand washing has been the biggest change in our community,NA,NA
2015-03-03,Bonthe,NA,NA,Mongere,0,NA,No death,The awareness of ebola and the obeying the rules and regulations of the country and also the enforcement of the bye-laws to the people,"For KOBOTU, The community asked; When will ebola end?",NA
2015-03-04,Bonthe,NA,NA,Mongere,0,NA,No death,The biggest change is the enfoercement of the cheakpoint and the complettment of the action point with awareness of ebola,Which time will ebola come to an end?,NA
2015-03-05,Bonthe,NA,NA,Mongere,0,NA,No death,All the bye-laws lans are actor and chekpoint intact. With the knowledge about ebola and its effect,Ebola may come to an end? To help the school children.,NA
2015-03-06,Bonthe,NA,NA,Mongere,0,NA,No death,The main change since our first visit to this community is that there is no death in the entire community,Provision of projects [Agricultural project][Farmer]. ,NA
2015-04-08,Bonthe,NA,NA,Baoma,0,NA,No death,Hygien and sanitation practice is very  effects in the communittee with all the action planis intact,To build health centers with water well  and toilets,NA
2015-04-09,Bonthe,NA,NA,Mamado,0,NA,No death,The community people are very law abiding all the bye law implemented and reforcement of cheak-point,"FOR LONDON; Let ebola come to an end now ,ebola cases at northern province always raised and fall[not stableaccording to ever day report from radio",NA
2015-04-10,Bonthe,NA,NA,Kormenda,0,NA,No death,The community people are abiding to all the bye-laws of the government put into action more the enforcement of cheak-point,"To help school going children ,To build health centers and to provide project to farmers",NA
2015-04-11,Bonthe,NA,NA,Sumbuya Junction,0,NA,No death,The community people are laws abiding to all various district,Baoma community; Whenis ebola commimg to an end?,NA
2015-04-08,Bonthe,NA,NA,Kinkon,0,NA,The burial team arrive late,The awareness of ebola and the enforcement of the bye-laws in the community,What is the current status in respect of the ebola situation,NA
2015-04-09,Bonthe,NA,NA,Mosebey,0,NA,The team will not allowed the family to touched the body,The community[people] enforced the law in this community,Mamando community; When is school going to reopened?,NA
2015-04-10,Bonthe,NA,NA,Gondama,0,NA,The people are not happy with the team,The people are now reporting the dead to health workers,Why is the ebola case always raising and falling?,NA
2015-04-11,Bonthe,NA,NA,Gornoh-Town,0,NA,The team speary their love ones,Cleaning of the environment and buring of waste and frequent washing of  hands,Sumbuya Junction community;Why is the ebola case always raising and falling in the northern part all the time,NA
2015-04-07,Bonthe,NA,NA,Nyala Moyatima,0,NA,No death,Good hygiene practices and High level of understanding about survivious,MOSEBEY COMMUNITY; Most concerns and questions are when will ebola come to an end in this country?,NA
2015-04-08,Bonthe,NA,NA,Nyandehun,0,NA,No death,Better understanding about ebola and ebola surviveous also personal hygiene practices,Also if the government  is going to give free education to their children in this community ,NA
2015-04-09,Bonthe,NA,NA,Taima[1],0,NA,No death,Enforcement of bi-laws and enforcemental hygiene practice and washing of hands even after using the toilet and others,NA,NA
2015-04-10,Bonthe,NA,NA,Taima[2],0,NA,No death,NA,NA,NA
2015-04-09,Bonthe,NA,NA,Gondama,1,They were allowed to take in the burial process,NA,The peolple practised safe burial,NA,NA
2015-04-10,Bonthe,NA,NA,Wortorhun,1,They were allowed to take in the burial process,NA,They have practised safe burial,NA,NA
2015-04-11,Bonthe,NA,NA,Sembehun,1,They were allowed to take in the burial process,NA,The have practised safe burial ,NA,NA
2015-04-12,Bonthe,NA,NA,Pontatei,1,They were allowed to take in the burial process,NA,They have practised safe burial,NA,NA
2015-04-08,Bonthe,NA,NA,Mecca,0,NA,No death,The people are still observeing the hand washing execise,The entire community of mecca and fakansina express in relation to ebola that when will ebola end?,NA
2015-04-09,Bonthe,NA,NA,Fakansana,0,NA,No death,The community called the team when ever there is any alent of burial ,As the people are tired with the entire situation and they want their children to go back to schoo and our normal activites.,NA
2015-04-10,Bonthe,NA,NA,Mogbawo,0,NA,No death,The community bye-laws are still effective and the people still uphold the laws,We want to go back in to our trade fare and our children still want to go back to school,NA
2015-04-11,Bonthe,NA,NA,Charpie,0,NA,No death,The  community is  still observing the bye-laws especially the handwashing excise,Again our girls are becoming mothers in the community,NA
2015-03-03,Bonthe,NA,NA,Bessao,0,NA,Because no death occurred,It was not easie to response to the questionaies and we have under go every things,The concerns of the communities was that there is no health personal in the community and no pure drinking water,NA
2015-03-04,Bonthe,NA,NA,Bessao,0,NA,Late arrival of the burial team,The community people are really co-operating with the authority in other of this deadly virus ebola,"The other means of getting ebola information is through radio, so we are pleading to the government to supplied us a portable radio in the surading villages or community",NA
2015-03-05,Bonthe,NA,NA,Bessao,0,NA,Late arrival of the burial team,The people are working hard towards the bye-laws in the village,The community  I visited asked papa government to give scholarship to their children,NA
2015-03-06,Bonthe,NA,NA,Bessao,0,NA,There was no death or sick alent visit,"A lot of changes in the community like hand washing, reporting of the sick, and calling of the burial team",The community  I visited asked papa government to give scholarship to their children,NA
2015-04-08,Bonthe,NA,NA,Gbangbama,0,NA,No death,This community now has knowledge in how to protect themselves from the EVD,NA,NA
2015-04-09,Bonthe,NA,NA,F.m,0,NA,No death,This  community now know the risk involves in community burial and the need for safe and dignified burial,NA,NA
2015-04-10,Bonthe,NA,NA,Yangatoke,0,NA,No death,This  community now know the risk involves in community burial and the need for safe and dignified burial,NA,NA
2015-04-11,Bonthe,NA,NA,Mbelleh,0,NA,No death,The now go to  the health facility available in their community when ever some one is sick,NA,NA
2015-04-07,Bonthe,NA,NA,Jangallor,0,Because they allowed the family to take part ,NA,The people now listen to ebola messages,NA,NA
2015-04-08,Bonthe,NA,NA,Moking,0,NA,No death,"If any ebola surviors come to the community, they are now ready to accept them",NA,NA
2015-04-09,Bonthe,NA,NA,Jeorma,0,NA,No death,The now know that ebola is real,NA,NA
2015-04-10,Bonthe,NA,NA,Moboso,0,NA,No death,The community now alhear to the bye-laws in the community,NA,NA
2015-04-07,Bonthe,NA,NA,Salina,0,NA,Because of the body bay,"The community is now co-operating with the ebola rules, they are now receving it well",NA,NA
2015-04-08,Bonthe,NA,NA,Mokula,0,Because it is safe,NA,"The community is now co-operating with the ebola rules, they are now receving it well",NA,NA
2015-04-09,Bonthe,NA,NA,Mondagba,0,Because it is safe,NA,"The community is now co-operating with the ebola rules, they are now receving it well",NA,NA
2015-04-10,Bonthe,NA,NA,Morkorgbor,0,NA,They have no respect for the dead,"The community is now co-operating with the ebola rules, they are now receving it well",NA,NA
2015-04-08,Bonthe,NA,NA,Minah,0,NA,NO DEATH,The people have decided not  to encourage any  strongers in the community,When will the government declear ebola free in sierra leones,NA
2015-04-09,Bonthe,NA,NA,Mattieu,0,NA,NO DEATH,The people have decided not to eat bush meat,Is  the government have to pay our children school fees?,NA
2015-04-10,Bonthe,NA,NA,Tessina,0,NA,NO DEATH,Frequent hand washing has been the biggest change,Is it true that government will pay school fees for our children for this year,NA
2015-04-11,Bonthe,NA,NA,Mabompa,0,NA,NO DEATH,No self burial,We want to known if the reopening of schools is on the 14# of April 2015,NA
2015-04-08,Bonthe,NA,NA,Soso,0,NA,NO DEATH,92% of the bye-laws in this community has been alhear to by the people,SOSO-The common concerns expressed by the community members is related to ebola and what will the government do for their school going children,NA
2015-04-09,Bonthe,NA,NA,Komendeh,0,NA,NO DEATH,Every week the elederly people  in this community gather their people and tell to implemente the bye-laws,KOMENDEH-The people in the Komendeh  community are asking the government and the NGOS to help in the area of agriculture,NA
2015-04-10,Bonthe,NA,NA,Salma,0,NA,NO DEATH,In this community the sick people are isolated,SALMA- the community want the government to provide them food,NA
2015-04-11,Bonthe,NA,NA,Gbembu,0,NA,NO DEATH,After 7;00 p.m no bike is allowed to enter to  this community,Hunger and lack of food in the community,NA
2015-04-08,Bonthe,NA,NA,Ngaringa,1,Because we want to protect our selvs from ebola virus so we are satisfied,NA,"At first no strongers were allowed but no cheakpoint were not good so they enter with other roots, no public/commericial boat for refeeral cases, no mobile net work to call 117 for burial",They said we should wash our hands with soap and water but we do not have soap[MAMU VILLAGE],NA
2015-04-09,Bonthe,NA,NA,Mamu,0,NA,No death,"No place to keep sick people, no mobile network to call 117 when death occuredin the community, and no veronical bucket to wash hands",Why is the government still recording ebola cases in sierraleone  and when are they going to allowed us burial our dead[NGARIMGA],NA
2015-04-10,Bonthe,NA,NA,Ngaogba,0,NA,No death,"The distance from the village to the hospital is motorable,no place to keep sick persons and no mobile network to call 117",What provision have the government put in place for the nurses that have lost their lifes during this ebola fight[BONTI],NA
2015-04-11,Bonthe,NA,NA,Bomti,0,NA,No death,Lack of mobility from community to the health facility and no good drinking water facility,When re we allowed to start our normal business,NA
2015-04-07,Bonthe,NA,NA,Tormagbahun,0,NA,No death,Community awareness that is real and it kills but the cases is still been reported to health ceners and 117,NA,NA
2015-04-08,Bonthe,NA,NA,Kenema,0,NA,No death,Community awareness that ebola is real and the acceptance to strictly alhear to the bye-laws to prevent it,NA,NA
2015-04-09,Bonthe,NA,NA,Barbah,0,NA,No death,Community acceptance that ebola is real and its kills and also alhear to the bye-laws,NA,NA
2015-04-10,Bonthe,NA,NA,Gbamusu,0,NA,No death,Community acceeptance to strictly alhear to the bye-laws to prevent it,NA,NA
2015-04-09,Bonthe,NA,NA,Junctionla,0,NA,No death,The changes that occurred in the community is taken the  sick ones to the health centers,Government should give scholarship to some of our children that have really fought this battle.,NA
2015-04-10,Bonthe,NA,NA,Gangama,0,NA,No death,The community never burial  on their own.,Some do not have money to learn mechine to be doctors or nurses.,NA
2015-04-11,Bonthe,NA,NA,Moyeveh,0,NA,No death,Hand washing is the most  practised,Government should give scholarship to some of our children that have really fought this battle.,NA
2015-04-12,Bonthe,NA,NA,Mollaga,0,NA,No death,No community gathering ,Some do not have money to learn mechine to be doctors or nurses.,NA
2015-04-07,Bonthe,NA,NA,Moigbo,0,NA,Because of the body bay,People are now sending the sick people to health center,NA,NA
2015-04-08,Bonthe,NA,NA,Nyanhu,0,Because it is safe,NA,They are really doing the frequent hand washing ,NA,NA
2015-04-09,Bonthe,NA,NA,Jehu,0,Because it is safe,NA,The also aspect that ebola is real,NA,NA
2015-04-10,Bonthe,NA,NA,Munu,0,NA,They said it has no respect ,The people have stop going to another people's compound,NA,NA
2015-04-07,Bonthe,NA,NA,Tombay,0,NA,No death,The awareness of the community people is encouraging compaired to the previous visits,TOMBAY;The continuosion of the trade fear is a concern raised by the market women in this community exspecial the fish mongering,NA
2015-04-08,Bonthe,NA,NA,Mangay,0,NA,No death,People are more willing to discuss the ebola virus diseases  as comparied to the previsious visits,Mangay-The community raised more question relatied to the government decision to reopen schools.,NA
2015-04-09,Bonthe,NA,NA,Baoma,0,NA,No death,The community members are now alhearing to the community bye-laws,Tissana-Will government supply us food after the ebola crisis,NA
2015-04-10,Bonthe,NA,NA,Tissana,0,NA,No death,Frequent hand washing has been the biggest change,Too much of hunger and lack of money in the community,NA
2015-04-07,Bonthe,NA,NA,Yoh,0,NA,No death,Frequent hand washing highly observed,NA,NA
2015-04-08,Bonthe,NA,NA,Moyeama,0,NA,No death,People's alhearence to the bye-laws has greatly increased,NA,NA
2015-04-09,Bonthe,NA,NA,Tangabu,0,NA,No death,People are more willing to discuss the ebola virus diseases  as comparied to the previsious visits,NA,NA
2015-04-10,Bonthe,NA,NA,Tarlayan,0,NA,No death,Yoh-The people are raising questions more on the reopening of schools whilst the EVD is still in the country also concerns about hunger ,NA,NA
2015-04-07,Bonthe,NA,NA,Tevalan,0,NA,No death,MOYEAMA-The community members are also concerns about  the government discusion of reopening schools even though the  EVD has not been eradicated,NA,NA
2015-04-08,Bonthe,NA,NA,Yelleh,0,NA,No death, TANGABU-The community is more concern about the lack of health centers and lack of pure drinking water and food,NA,NA
2015-04-09,Bonthe,NA,NA,Farkai,0,NA,No death,Tarlayan- How can the government reopen school when EVD is still in the country?,The concerns of the communities are to let the government put on proper net-work pole within the Island because they may want to call 117 at any time there is a problem in the community,NA
2015-04-10,Bonthe,NA,NA,Barkay,0,NA,No death,"The community has agreed unpon the preventive measures stated by the health workers and they are working with the bye-laws ie no eating of bush meat and no public gathering, no secriet burial",Because of poor net-work there is no emercy call going through here,NA
2015-04-07,Bonthe,NA,NA,Yangasia,1,The prevent another family members from the ebola virus,NA,The bye-laws is working effectively and there is a frequent hand washing  and the isolation of sick in the community,The questions common asked is when will ebola come to an end?,NA
2015-04-08,Bonthe,NA,NA,Tokpombu,1,Because itâ€™s the bi-law from the government to put ebola away,NA,People are now listen to the authority to see that the ebola virus is gone from sierraleone ,"Is school going to be effective this year because of the ebola virus disease, that is our fear",NA
2015-04-09,Bonthe,NA,NA,Tokpombu,0,NA,Because we can not do our traditional practised,"No public gathering in this community, They do sign greeting",Yangasia; What has the government put in place for the reopening of schools?,NA
2015-04-10,Bonthe,NA,NA,Tokpombu,0,NA,Because they used plastic on the body,The people are abding to the bi-laws in the community and social gathering, TOKPOMBU; Is it true that government is going to pay school fees for our children for one year?,NA
2015-04-07,Bonthe,NA,NA,Mobay,0,NA,NA,They do not shake hands when greetings and social gathering,Mobay; When is this dealy disease /virus  toally going to be declear in our country sierraleone?,NA
2015-04-08,Bonthe,NA,NA,Mobay,0,NA,NA,NA,NA,NA
2015-04-09,Bonthe,NA,NA,Ngaya,0,NA,NA,NA,NA,NA
2015-04-07,Bonthe,NA,NA,Gendema,1,Because they allowed to go to the cemetry,NA,Great improvement in the area of hand washing ,NA,NA
2015-04-08,Bonthe,NA,NA,Sembehun,1,Because they allowed to pray on the dead,NA,Great improvement in the area of hand washing ,NA,NA
2015-04-09,Bonthe,NA,NA,Lontokie,1,Because they allowed go to the cemetry,NA,Great improvement in the area of eating bush meat,NA,NA
2015-04-10,Bonthe,NA,NA,Samahun,1,Because they allowed pray on the dead,NA,Great improvement in the area of hand washing ,NA,NA
2015-04-07,Bonthe,NA,NA,Hoya,1,Because they are observing a safe and degnified burial method,NA,Frequent hand washing and calling the burial team been the biggest change,NA,NA
2015-04-08,Bonthe,NA,NA,Kpeima,1,Because they are observing a safe and degnified burial method,NA,The whole town was burnt down just after our first follow-up only few people have manage to rebuild their own houses,NA,NA
2015-04-09,Bonthe,NA,NA,Diamane,1,Because they are observing a safe and degnified burial method,NA,I saw verocial buckets in the mosque and all the entranceof the community,NA,NA
2015-04-10,Bonthe,NA,NA,Sarhun,1,Because they are observing a safe and degnified burial method,NA,Frequent hand washing and calling the burial team been the biggest change,NA,NA
2015-04-14,Bonthe,NA,NA,Massa,0,NA,NO DEATH,They are ready to acept any surviors of ebola in their community,NA,NA
2015-04-15,Bonthe,NA,NA,Relama,0,NA,NO DEATH,The community is ready to work with the bi-laws that has been developed on the ebola fight,NA,NA
2015-04-16,Bonthe,NA,NA,Babba,0,NA,NO DEATH,They have accepted the fact that ebola is real,NA,NA
2015-04-07,Bonthe,NA,NA,Karle-Wanjama,1,The people were involve highly,NA,Calling 117 for safe and dengined burial,"KARLEH=We are asking the government to help build schools, toilets and provide good medical facilities for us",NA
2015-04-08,Bonthe,NA,NA,Koranko,1,The people were involve highly,NA,Bi-laws were maintance and effective,TEI=We depend on agriculture so we are asking the government to please supply us with tractors and seed rice,NA
2015-04-09,Bonthe,NA,NA,Mano,1,The people were involve highly,NA,Frequent hand washing is effective,"Secondly, the hospital is lack of personel and insufficient drugs, poor toilets and the maintance of the structures",NA
2015-04-10,Bonthe,NA,NA,Tei,1,The people were involve highly,NA,The authority are vigilant to see that  the bi-laws are in order,NA,NA
2015-03-14,Bonthe,NA,NA,Yillehwa,1,There is no death occure in their community.,NA,"Hand washing point, No hand shaking.",NA,NA
2015-03-14,Bonthe,NA,NA,Bassia,1,No death No sick.,NA,"Allow the burial team to buried the dead, Call 117 or the district line 306 Kambia",Day1; Mapolon;ophans needing care,NA
2015-03-14,Bonthe,NA,NA,Vaama,1,Praying on the death,NA,"No sick, No dead, Isolate the sick, Call the district line 306 Kambia, Allow survvalance team to work.","Day2;Bennah; Our common concern is, Ebola is coming to an end, we want Government to provide food for us in our community.",NA
2015-03-14,Bonthe,NA,NA,Loibaima,1,"Dress the dead, Allow family members",NA,"No Ebola possitive case in our community, Call 117 or district line, Allow the burial team to buried the dead.","Day3;Sendugu; Our concern is, we want Government to lift the band of the public health state of emmergincy. We want Government to supply us with Agrilcultural product, like Rice, Cassave and Ground nut, so that we can plant them for our community members.",NA
2015-03-14,Bonthe,NA,NA,Mende/Madina,1,Safe and dignify burial process.,NA,"No sick, No dead, Isolate the sick person, Allow the burial team to buried the dead.",Day4;Makenilol; We most common concern to the overnment is we lack safe drinking water on behalf of thses community I am appling to the Government to provide one water well in our community,NA
